name,ring,quadrant,isNew,description
Automated machine learning (AutoML),Assess,Techniques,TRUE,"Automated machine learning (AutoML) is the process of automating the tasks of applying machine learning to real-world problems. AutoML covers the complete pipeline from the raw dataset to the deployable machine learning model. AutoML was proposed as an artificial intelligence-based solution to the ever-growing challenge of applying machine learning. The high degree of automation in AutoML allows non-experts to make use of machine learning models and techniques without requiring them to become experts in machine learning. Automating the process of applying machine learning end-to-end additionally offers the advantages of producing simpler solutions, faster creation of those solutions, and models that often outperform hand-designed models. AutoML has been used to compare the relative importance of each factor in a prediction model"
Hierarchical multi-tenancy,Assess,Techniques,TRUE,"Designing security model for multi-tenancy applications is challenging, especially when we develop a cloud-based system that must support different needs. To cater to the various needs on hierarchical users, multiple access levels and service data a hierarchical multi-tenant pattern (hierarchical data, authentication and authorization) is useful. This pattern proposes a consistent and flexible blueprint to manage multiple tenants, security and service data that require hierarchy based on real world scenarios."
OpenTelemetry (Tracing),Assess,Tools,TRUE,"A CNCF incubating project that brings together OpenTracing and OpenCensus projects. It is open-source, vendor neutral specification for tracing, metrics and logs. The v1.0 specification provides an API and SDK definition for tracing with the other components to follow."
Open Policy Agent (OPA),Assess,Tools,TRUE,"The Open Policy Agent (OPA) is an open source, general-purpose policy engine that unifies policy enforcement across the stack. OPA provides a high-level declarative language that lets you specify policy as code and simple APIs to offload policy decision-making from your software."
AWS Deequ,Assess,Tools,TRUE,"Deequ is a library built on top of Apache Spark for defining ""unit tests for data"", which measure data quality in large datasets."
DBT,Assess,Tools,TRUE,Command-line tool that enables data analysts and engineers to transform data in data warehouses using SQL syntax.
Cassandra,Assess,Tools,TRUE,"Distributed database engine, column-based, could be a way to simplify stacks where coexist several relational and no-sql databases."
Enterprise Architect,Assess,Tools,TRUE,Visual modelling and design tool based on the OMG UML. The platform supports: the design and construction of software systems; modeling business processes; and modeling industry based domains.
Micro Focus ALM,Assess,Tools,TRUE,Application lifecycle management tool for software quality assurance and testing.
XRay,Assess,Tools,TRUE,"Test case management tool, integrates well with JIRA making test and results located in single location consumable by users and stakeholders."
Bash/PowerShell Scripting,Hold,Languages & Frameworks,FALSE,Bash has been the de facto shell in Linux for many years as has PowerShell on Windows. However both lack features that more fully fledged scripting languages do support and is not recommended for anything but trivial scripting. Python is a better alternative.
Redux,Hold,Languages & Frameworks,TRUE,Open source system for state management which has lost some traction as it requires quite a bit of boilerplate code.
Play,Hold,Languages & Frameworks,FALSE,"Strict framework based on run time dependency injection as Spring. The Investigate team is moving away from Dependency Injection, in favour of compile time guarantees."
Vue.JS,Hold,Languages & Frameworks,FALSE,Currently both Angular and React are used across GBG and both have enough traction and healthy communities to maintain on these two choices rather than extending it with a third.
.NET Framework,Hold,Languages & Frameworks,FALSE,Microsoft has unified .NET Framework and .NET Core under .NET 5 and going forward will not create new version of .NET Framework.
C++,Hold,Languages & Frameworks,FALSE,"A number of components used are built using C++. Typically in situation where performance is a concern C++ is a reasonable choice. However in recent years alternatives have started to surface and support within GBG has started to decrease. 
 C++ is put in the Hold category to signify new developments should look towards alternatives if possible. However C++ has incredible longevity and should be used where it is appropriate."
AWS Elasticsearch,Hold,Platforms,TRUE,"AWS's managed Elasticsearch offering was recently targeted by a code license change by Elasticsearch's owners, which has prompted AWS to fork Elasticsearch. Although backwards compatibility is promised and it might develop into a superior service, until more information on AWS's plans with their own fork are made public, we advice to hold on using this managed service."
Homemade infrastructure-as-code (IaC) products,Hold,Platforms,FALSE,"Organizations trying to create homemade infrastructure-as-code (IaC) products on top of the existing ones; they underestimate the required effort to keep those solutions evolving according to their needs, and after a short period of time, often the original version is in much better shape than their own;"
OpenFaaS etc,Hold,Platforms,FALSE,"Projects such as OpenFaaS that aim to create cloud agnostic serverless frameworks typically need execution of these frameworks on self managed Kubernetes clusters. The overhead and a feature set which lags cloud-native implementations, mean it's currently better to pick a serverless implementation such as AWS Lambda or Azure Functions."
"Managing state using config management tools (Chef, Ansible etc)",Hold,Techniques,FALSE,"Config management tools such as Ansible, Chef and others are great at provisioning immutable infrastructure components, they're not very useful when you have to manage stateful systems and can often lead to significant effort trying to manage and evolve clusters using these tools."
Legacy migration feature parity,Hold,Techniques,FALSE,"When planning to migrate a legacy service to an updated services, we should resist marking every feature in the legacy service a requirement for migration. Rather the need for each feature needs to be examined individually and only ported in to the new services if there is sufficient value in doing so."
Zeppelin,Hold,Tools,TRUE,Open-source notebook application which has become less popular than Jupyter.
Camunda,Hold,Tools,TRUE,"Powerful open-source workflow and decision automation platform. The Camunda engine cloud version is not compatible with the current server deployment, it is best to see which version will gain transaction before considering usage."
