name,ring,quadrant,isNew,description
Github Enterprise,Adopt,Platforms,TRUE,GitHub's enterprise web-based Git repository hosting service and standard repository for all GBG Tehcnology teams.
Azure DevOps,Assess,Platforms,TRUE,MicroSoft's DevOps suite that provides CI/CD workflow features.
Kubernetes,Adopt,Platforms,TRUE,"Kubernetes is a portable, extensible, open-source platform for managing containerized workloads and services, that facilitates both declarative configuration and automation."
Docker,Adopt,Platforms,TRUE,Well known platform that use OS-level virtualization to deliver software in containers.
New Relic,Adopt,Platforms,FALSE,New Relic is an observability platform that is used fro APM and log monitoring and alerting.
AWS,Adopt,Platforms,TRUE,"Amazon Web Service is the worlds largest cloud computing platform, known for low-cost, extensive global reach and a very extensive service catalogue. It hosts many of GBG's products and services."
Azure,Adopt,Platforms,TRUE,"Microsoft Azure is the cloud platform of choice for enterprise workloads that benefit from the extensive  tooling for monitoring, security and governance available through Microsofts enterprise experience. "
Databricks,Assess,Platforms,TRUE,"Databricks is an industry-leading, cloud-based data engineering tool used for processing and transforming massive quantities of data and exploring the data through machine learning models. It is cloud-ahnostic and support R, Python, Scala and SQL"
Istio,Adopt,Platforms,TRUE,Istio is an open source service mesh—a modernized service networking layer that provides a transparent and language-independent way to flexibly and easily automate application network functions. It is a popular solution for managing the different microservices that make up a cloud-native application. Istio service mesh also supports how those microservices communicate and share data with one another.
Delta Lake,Assess,Platforms,TRUE,"Delta Lake is an open source storage layer that brings reliability to data lakes. Delta Lake provides ACID transactions, scalable metadata handling, and unifies streaming and batch data processing. Delta Lake runs on top of your existing data lake and is fully compatible with Apache Spark APIs"
Pulumi,Assess,Platforms,TRUE,"Pulumi's open source infrastructure as code SDK enables you to create, deploy, and manage infrastructure on any cloud, using your favorite languages. The ability to define infrastructure using fully fledged languages give it an advantage over Terraform in dynamic environments and make it easier to test with Pulumi. It's similar to AWS CDK but cloud-neutral."
Apache Superset,Assess,Platforms,TRUE,open-source software cloud-native application for data exploration and data visualization able to handle data at petabyte scale
Apache Griffin,Assess,Platforms,TRUE,"Apache Griffin is an open source Data Quality solution for Big Data, which supports both batch and streaming mode. It offers a set of well-defined data quality domain model, which covers most of data quality problems in general. It also define a set of data quality DSL to help users define their quality criteria. "
Apache Flink,Assess,Platforms,TRUE,"Apache Flink is an open-source, unified stream-processing and batch-processing framework developed by the Apache Software Foundation. "
AWS ElasticSearch,Hold,Platforms,TRUE,"AWS's managed ElasticSearch offering was recently targeted by a code license change by ELasticSearch's owners, which has prompted AWS to fork ElasticSearch. Although backwards compatibility is promised and it might develop into a superior service, until more information on AWS's plans with their own fork are made public, we advice to hold on using this managed service. "
Homemade infrastructure-as-code (IaC) products,Hold,Platforms,FALSE,"Products supported by companies or communities are in constant evolution, at least the ones that get traction in the industry. Sometimes organizations tend to build frameworks or abstractions on top of the existing external products to cover very specific needs, thinking that the adaptation will provide more benefits than the existing ones. Organizations trying to create homemade infrastructure-as-code (IaC) products on top of the existing ones; they underestimate the required effort to keep those solutions evolving according to their needs, and after a short period of time, they realize that the original version is in much better shape than their own; there are even cases where the abstraction on top of the external product reduces the original capabilities. Although we've seen success stories of organizations building homemade solutions, we want to caution about this approach as the effort required to do so isn't negligible, and a long-term product vision is required to have the expected outcomes."
OpenFaaS etc,Hold,Platforms,FALSE,"Projects such as OpenFaaS that aim to create cloud agnostic serveless frameworks typically need execution of these framewoirks on self managed kubernetes clusters. The overhead and a feature set which lags cloud-native implementations, mean it's currently better to pick a serverless impementation such as AWS Lambda or Azure Funtions."
Github Actions,Trial,Platforms,TRUE,"GitHub Actions are CI/CD workflow features build directly into GitHub. As all repositories migrate to GitHUb Enterprise it could be a lightweight alternative to Azure DevOps, with good integration into all repositories."
AWS Fargate,Trial,Platforms,TRUE,"AWS Fargate is a serverless compute engine for containers that works with both Amazon Elastic Container Service (ECS) and Amazon Elastic Kubernetes Service (EKS). Fargate makes it easy for you to focus on building your applications. Fargate removes the need to provision and manage servers, lets you specify and pay for resources per application, and improves security through application isolation by design. "
Managed Kubernetes orxhestartion services,Trial,Platforms,TRUE,"Managed service that you can use to run Kubernetes without needing to install, operate, and maintain your own Kubernetes control plane or nodes. Examples are AWS EKS, GCP GKE and Azure AKS."
Elastic ElasticSearch (SIEM/APM),Trial,Platforms,TRUE,"Managed ElasticSearch service offered by the creators of ElasticSearch. It's benefits are being kept up to date with latest versions of the Elastic components and only charging for compute rather than storage, which is unusual for SIEM solutions."
OpenTelemetry,Trial,Platforms,TRUE,"A CNCF- backed open source observability framework for cloud-native software. OpenTelemetry is a collection of tools, APIs, and SDKs. You can use it to instrument, generate, collect, and export telemetry data (metrics, logs, and traces) for analysis in order to understand your software's performance and behavior. Currently in Beta, but with extensive language support and ecosystem. "
Zero-Trust Architecture,Adopt,Techniques,TRUE,ZTA is a paradigm shift in security architecture and strategy. Its based on the assumption that a network perimeter is no longer representative of a secure boundary and no implicit trust should be granted to users or services based solely on their physical or network location. 
Infrastructure-as-code,Adopt,Techniques,TRUE,"Infrastructure as code is the process of managing and provisioning computer data centers through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools."
Microservices,Adopt,Techniques,TRUE,"Approach to developing a single application as a suite of small services, each running in its own process and communicating with lightweight mechanisms, often an HTTP resource API. These services are built around business capabilities and independently deployable by fully automated deployment machinery. There is a bare minimum of centralized management of these services, which may be written in different programming languages and use different data storage technologies."
SPA,Adopt,Techniques,TRUE,"A single-page application (SPA) is a web application or website that interacts with the user by dynamically rewriting the current web page with new data from the web server, instead of the default method of a web browser loading entire new pages. It goes well with the microservices architecture that exposes APIs as their main interface. This technique is further evolved with Micro Frontends also in this radar."
Pipelines for infrastructure ,Adopt,Techniques,TRUE,"The use of pipelines for infrastructure as code lets you find errors before changes are applied to operational environments — including environments used for development and testing. They also offer a way to ensure that infrastructure tooling is run consistently, using CI/CD agents rather than individual workstations."
TDD,Adopt,Techniques,TRUE,"Test-driven development (TDD) is a software development process relying on software requirements being converted to test cases before software is fully developed, and tracking all software development by repeatedly testing the software against all test cases."
Continuous Delivery,Adopt,Techniques,TRUE,"Continuous Delivery is a software development discipline where you build software in such a way that the software can be released to production at any time.

You’re doing continuous delivery when: 

Your software is deployable throughout its lifecycle
Your team prioritizes keeping the software deployable over working on new features
Anybody can get fast, automated feedback on the production readiness of their systems any time somebody makes a change to them
You can perform push-button deployments of any version of the software to any environment on demand"
Event-driven architecture,Adopt,Techniques,TRUE,"Event-driven architecture (EDA) is a software architecture paradigm promoting the production, detection, consumption of, and reaction to events. An event can be defined as ""a significant change in state"". For example, when a consumer purchases a car, the car's state changes from ""for sale"" to ""sold""."
Feature toggles/flags,Adopt,Techniques,TRUE,"A feature toggle is a software development process used to enable or disable functionality remotely without deploying code. New features can be deployed without making them visible to users. Feature flags help decouple deployment from release letting you manage the full lifecycle of a feature.
Their purpose is to use known information to control how code works. For example, if new features are made available to internal users for testing and feedback, a feature flag can control this access. Any employee logged into the application with a corporate email address will see the feature; other users do not.
Feature flags eliminate the need to maintain multiple feature branches within your source code. All code changes can be made to the primary branch, only when the feature is ready will it be enabled via the flag.
To prevent complex capability matrices from spawning, toggles should be removed as soon as a feature has been adopted. Differential usage for the user population should be managed using permissions long-term."
Role-Based Access Control,Adopt,Techniques,TRUE,"Role-based access control (RBAC) is a policy-neutral access-control mechanism defined around roles and privileges. The components of RBAC such as role-permissions, user-role and role-role relationships make it simple to perform user assignments."
Service mesh,Assess,Techniques,TRUE,"A service mesh is a configurable, low‑latency infrastructure layer designed to handle a high volume of network‑based interprocess communication among application infrastructure services using application programming interfaces (APIs). A service mesh ensures that communication among containerized and often ephemeral application infrastructure services is fast, reliable, and secure. The mesh provides critical capabilities including service discovery, load balancing, encryption, observability, traceability, authentication and authorization, and support for the circuit breaker pattern.

The service mesh is usually implemented by providing a proxy instance, called a sidecar, for each service instance. Sidecars handle interservice communications, monitoring, and security‑related concerns – indeed, anything that can be abstracted away from the individual services. This way, developers can handle development, support, and maintenance for the application code in the services; operations teams can maintain the service mesh and run the app."
Homomorphic Encryption,Assess,Techniques,TRUE,"Fully homomorphic encryption (HE) refers to a class of encryption methods that allow computations (such as search and arithmetic) to be performed directly on encrypted data. The result of such a computation remains in encrypted form, which at a later point can be decrypted and revealed. Although the HE problem was first proposed in 1978, a solution wasn't constructed until 2009. With advances in computing power and the availability of easy-to-use open-source libraries — including SEAL, Lattigo, HElib and partially homomorphic encryption in Python — HE is becoming feasible in real-world applications. The motivating scenarios include privacy-preserving use cases, where computation can be outsourced to an untrusted party, for example, running computation on encrypted data in the cloud, or enabling a third party to aggregate homomorphically encrypted intermediate federated machine learning results. "
Continuous delivery for machine learning (CD4ML),Assess,Techniques,TRUE,"Continuous Delivery for Machine Learning (CD4ML) is a software engineering approach in which a cross-functional team produces machine learning applications based on code, data, and models in small and safe increments that can be reproduced and reliably released at any time, in short adaptation cycles."
Ethical bias testing,Assess,Techniques,,"There is rising concern that machine learning and deep neural networks in particular could cause unintentional harm. For example, a model could be trained inadvertently to make profitable credit decisions by simply excluding disadvantaged applicants. Ethical bias testing can help uncover potentially harmful decisions in these models. 
Tools such as lime, AI Fairness 360 or What-If Tool can help uncover inaccuracies that result from underrepresented groups in training data and visualization tools such as Google Facets or Facets Dive can be used to discover subgroups within a corpus of training data."
Micro frontends,Assess,Techniques,TRUE,Micro frontends are a new pattern where web application UIs (front ends) are composed from semi-independent fragments that can be built by different teams using different technologies. Micro-frontend architectures resemble back-end architectures where back ends are composed from semi-independent microservices.
Privacy-preserving record linkage (PPRL) using Bloom Filters,Assess,Techniques,TRUE,"Privacy-preserving record linkage (PPRL) using Bloom filter (a space-efficient probabilistic data structure) is an established technique that allows probabilistic linkage of records from different data providers without exposing privately identifiable personal data. For example, when linking data from two data providers, each provider encrypts its personally identifiable data using Bloom filter to get cryptographic linkage keys and then sends them to you via a secure channel. Once data is received, the records can be linked by computing similarity scores between sets of cryptographic linkage keys from each provider."
Automated machine learning (AutoML),Assess,Techniques,TRUE,"Automated machine learning (AutoML) is the process of automating the tasks of applying machine learning to real-world problems. AutoML covers the complete pipeline from the raw dataset to the deployable machine learning model. AutoML was proposed as an artificial intelligence-based solution to the ever-growing challenge of applying machine learning. The high degree of automation in AutoML allows non-experts to make use of machine learning models and techniques without requiring them to become experts in machine learning. Automating the process of applying machine learning end-to-end additionally offers the advantages of producing simpler solutions, faster creation of those solutions, and models that often outperform hand-designed models. AutoML has been used to compare the relative importance of each factor in a prediction model"
Hierachical multi-tenancy,Assess,Techniques,TRUE,"Designing security model for multi-tenancy applications is challenging, especially when we develop a cloud-based system that must support hierarchical users, multiple access levels and hierarchical service data. In this paper, we present hierarchical multi-tenant pattern to model hierarchical multi-tenancy and security aspects (hierarchical data authentication and authorization) of a cloud-based software system. This pattern proposes a consistent and flexible blueprint to manage multiple tenants, security and service data that require hierarchy based on real world scenarios. "
"Managing state using config management tools (Chef, Ansible etc)",Hold,Techniques,TRUE,"""Handcranking"" of Hadoop clusters happens when using config management tools such as Ansible, Chef and others. Although these tools are great at provisioning immutable infrastructure components, they're not very useful when you have to manage stateful systems and can often lead to significant effort trying to manage and evolve clusters using these tools."
Legacy migration feature parity,Hold,Techniques,TRUE,"When planning to migrate a legacy service to an updated services, we should resist marking every feature in the leagcy service a requirement for migraiton. Rather the need for each feature needs to be examined individually and only ported in to the new services if there is sufficient value in doing so. "
Consumer-driven Contract Testing,Hold,Techniques,TRUE,"Contract testing is a methodology for ensuring that two separate systems (such as two microservices) are compatible and are able to communicate with one other. It captures the interactions that are exchanged between each service, storing them in a contract, which can then be used to verify that both parties adhere to it. Contract testing goes beyond schema testing, requiring both parties to come to a consensus on the allowed set of interactions and allowing for evolution over time."
Event Sourcing,Trial,Techniques,TRUE,"Event sourcing refers to a collection of patterns based on persisting the full history of a domain as a sequence of “events”, rather than persisting just the current state. Events are stored as immutable pieces of data that record what event happened, along with any data that is relevant to that event. Events are stored in streams, with a stream of events representing the entire history of a particular entity (or Aggregate in DDD terminology). These event streams are the source of truth for the state of the aggregate.
See CQRS, Kafka for related items."
The three Rs of security,Trial,Techniques,TRUE,"The three Rs of enterprise security — rotate, repair and repave — take advantage of infrastructure automation and continuous delivery to eliminate opportunities for attack. Rotating credentials, applying patches as soon as they're available and rebuilding systems from a known, secure state — all within a matter of minutes or hours — makes it harder for attackers to succeed."
CQRS,Trial,Techniques,TRUE,"The Command and Query Responsibility Segregation (CQRS) pattern separates read and update operations for a data store. Implementing CQRS can maximize performance, scalability, and security. The flexibility created by migrating to CQRS allows a system to better evolve over time and prevents update commands from causing merge conflicts at the domain level."
Data Mesh,Adopt,Techniques,TRUE,"Data mesh is an architectural and organizational paradigm shift in how we manage big analytical data. The paradigm is founded on four principles: (1) domain-oriented decentralization of data ownership and architecture; (2) domain-oriented data served as a product; (3) self-serve data infrastructure as a platform to enable autonomous, domain-oriented data teams; and (4) federated governance to enable ecosystems and interoperability. At GBG it goes beyond analytical data, to extend across the many differnt data sources we utilise. By setting out the principles through which data is acquired, managed and retrieved, it allows to build product services that effectively combine multiple data sources, internal and external, to provide data-driven services. "
Run cost as architecture fitness function,Trial,Techniques,TRUE,"Automating the estimation, tracking and projection of cloud infrastructure's run cost is necessary for today's organizations. The cloud providers' savvy pricing models, combined with the proliferation of pricing parameters and the dynamic nature of today's architecture, can lead to surprisingly expensive run costs. For example, the price of serverless based on API calls, event streaming solutions based on traffic or data processing clusters based on running jobs, all have a dynamic nature that changes over time as the architecture evolves. When our teams manage infrastructure on the cloud, implementing run cost as architecture fitness function is one of their early activities. This means that our teams can observe the cost of running services against the value delivered; when they see deviations from what was expected or acceptable, they'll discuss whether it's time to evolve the architecture. The observation and calculation of the run cost is implemented as an automated function."
Figma,Adopt,Tools,FALSE,"Go-to tool for collaborative design, not only for designers but for multidisciplinary teams too; it allows developers and other roles to view and comment on designs through the browser without the desktop version. Compared to its competitors (e.g., Invision or Sketch) which have you use more than one tool for versioning, collaborating and design sharing, Figma puts together all of these features in one tool that makes it easier for our teams to discover new ideas together. Our teams find Figma very useful, especially in remote and distributed design work enablement and facilitation. In addition to its real-time design and collaboration capabilities, Figma also offers an API that helps to improve the DesignOps process."
Terraform,Adopt,Tools,FALSE,"Terraform, is rapidly becoming a de facto choice for creating and managing cloud infrastructures by writing declarative definitions. Already used across many teams in GBG and championed by the Cloud Infrastructure team it is our current infrastructure-as-code tool of choice. "
Neo4j,Adopt,Tools,FALSE,"Neo4j is an open-source, NoSQL, native graph database that provides is ACID-compliant."
Apache Solr,Assess,Tools,FALSE,"Apache Solr (Searching On Lucene w/ Replication) is a free, open-source search engine based on the Apache Lucene library. An Apache Lucene subproject, it has been available since 2004 and is one of the most popular search engines available today worldwide. Solr, however, is more than a search engine — it’s also often used as a document-based NoSQL database with transactional support that can be used for storage purposes and even a key-value store."
Jupyter Notebook,Adopt,Tools,TRUE,"The Jupyter Notebook is an open-source web application that allows you to create and share documents that contain live code, equations, visualizations and narrative text. Uses include: data cleaning and transformation, numerical simulation, statistical modeling, data visualization, machine learning."
Redis,Adopt,Tools,FALSE,"Redis is an open source (BSD licensed), in-memory data structure store, used as a database, cache, and message broker. Redis provides data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams. Redis has built-in replication, Lua scripting, LRU eviction, transactions, and different levels of on-disk persistence, and provides high availability via Redis Sentinel and automatic partitioning with Redis Cluster"
SonarQube,Adopt,Tools,FALSE,"SonarQube is an open-source platform developed by SonarSource for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities on 20+ programming languages."
Rest Assured,Adopt,Tools,FALSE,Java based RETS API testing tool
SoapUI,Adopt,Tools,FALSE,API testing tool
Selenium,Adopt,Tools,FALSE,"Selenium is a free (open-source) automated testing framework used to validate web applications across different browsers and platforms. You can use multiple programming languages like Java, C#, Python etc to create Selenium Test Scripts. "
Jmeter,Adopt,Tools,TRUE,"Apache JMeter is an Apache project that can be used as a load testing tool for analyzing and measuring the performance of a variety of services, with a focus on web applications."
Fluentd,Adopt,Tools,FALSE,​Fluentd is an open-source data collector for a unified logging layer. Fluentd allows you to unify data collection and consumption for better use and understanding of data.
Kafka,Adopt,Tools,TRUE,"Apache Kafka is a  distributed event streaming platform. Initially conceived as a messaging queue, Kafka is based on an abstraction of a distributed commit log. Since being created and open sourced by LinkedIn in 2011, Kafka has quickly evolved from messaging queue to a full-fledged event streaming platform that is widely adopted and often used in Event Streaming and Event Sourcing architectures."
OpenTelemetry (Tracing),Assess,Tools,TRUE,"A CNCF incubating project that brings together OpenTracing and OpenCensus projects. It is open-source, vendor neutral specification for  tracing, metrics and logs. The v1.0 specification provides an API and SDK defintion for tracing with the other components to follow. "
Open Policy Agent (OPA),Assess,Tools,TRUE,"The Open Policy Agent (OPA) is an open source, general-purpose policy engine that unifies policy enforcement across the stack. OPA provides a high-level declarative language that lets you specify policy as code and simple APIs to offload policy decision-making from your software."
Great Expectations,Assess,Tools,TRUE,"open source tool to help data teams eliminate pipeline debt, through data testing, documentation, and profiling"
DBT ,Assess,Tools,TRUE,command-line tool that enables data analysts and engineers to transform data in their warehouses simply by writing select statements
Cassandra,Assess,Tools,TRUE,"Distributed database engine, column-based, could be a way to simplify stacks where coexits several relational and no-sql databases"
Enterprise Architect,Assess,Tools,TRUE,Visual modeling and design tool based on the OMG UML
Micro Focus ALM,Assess,Tools,TRUE,Set of software tools developed and marketed by Micro Focus (previously Hewlett-Packard and Hewlett Packard Enterprise) for application development and testing
XRay,Assess,Tools,TRUE,"Test case management tool, integrates well with JIRA making test and results located in single location consumable by users and stakeholders"
Zeppelin,Hold,Tools,TRUE,Open-source notebook application which has become less popular than Jupyter
Camunda,Hold,Tools,FALSE,"a powerful open-source workflow and decision automation platform. The Camunda engine cloud version is not compatioble with the current server deployment, it is best to see which version will gain tranaction before considering usage."
Elastic Common Schema,Hold,Tools,TRUE,"ECS is an open source specification that defines a common set of document fields for log events most commonly ingested into ElasticSearch. Every component has their won naming conventiobnts for data attributes, complicating ingestion rules and hindering cross componenet analysis without transformation. The adoption of a common schema mitigates these issues. There is a lack of competing schemas and with Elastic's expanding market penetration it is a good shcema to implement today, knowing it will be most likley supported well across vendors tomorrow.
The Identity Logging Working Group has used ECS as the basis for their work. "
Sentry,Trial,Tools,TRUE,"Self-hosted and cloud-based error monitoring that helps software teams discover, triage, and prioritize errors in real-time that is especially popular for frontend error reporting."
Apache Airflow,Adopt,Tools,TRUE,open-source workflow management tool for data-processing pipelines as directed acyclic graphs (DAGs)
Avro,Trial,Tools,TRUE,"Apache Avro is a data serialization system. Avro provides: Rich data structures. A compact, fast, binary data format. A container file, to store persistent data"
Ping Identity,Adopt,Platforms,TRUE,Ping Identity provides federated identity management and self-hosted identity access management (IAM) solutions to web identities and single sign-on solutions. It is the chosen IAM provider for GBG solutions. 
Rollup,Assess,Languages & Frameworks,TRUE,Build tool for bundling javascript and css distributions
Node.js,Adopt,Languages & Frameworks,FALSE,"Event-driven, non-blocking I/O framework"
TypeScript,Adopt,Languages & Frameworks,TRUE,Static typing for JavaScript
Google Cloud Platform,Adopt,Platforms,TRUE,Cloud computing platform
BDD,Adopt,Techniques,TRUE,Behavioural driven development
CockRoach DB,Assess,Tools,TRUE,Distributed / Localised database
Sumo Logic,Adopt,Tools,TRUE,Monitoring for front end errors
Kibana,Adopt,Tools,TRUE,Tool for visualising textual data including logs
ML or Model Ops,Adopt,Techniques,TRUE,MLOps/ModelOps is the process of taking an experimental Machine Learning or AI model into a production system.
The Go Programming Language,Adopt,Languages & Frameworks,TRUE,"Go is a statically typed, compiled programming language designed at Google by Robert Griesemer, Rob Pike, and Ken Thompson. Go is syntactically similar to C, but with memory safety, garbage collection, structural typing, and CSP-style concurrency"
Apache Arrow,Assess,Languages & Frameworks,TRUE,Apache Arrow is a language-agnostic software framework for developing data analytics applications that process columnar data. It contains a standardized column-oriented memory format that is able to represent flat and hierarchical data for efficient analytic operations on modern CPU and GPU hardware
Pachyderm,Assess,Platforms,TRUE,Pachyderm is the data layer that powers your machine learning lifecycle
Postgres,Adopt,Tools,FALSE,"PostgreSQL is a powerful, open source object-relational database system with over 30 years of active development that has earned it a strong reputation for reliability, feature robustness, and performance."
Julia,Trial,Languages & Frameworks,TRUE,"Julia is a high-level, high-performance, dynamic programming language. While it is a general-purpose language and can be used to write any application, many of its features are well suited for numerical analysis and computational science."
Netdata,Assess,Tools,TRUE,"Netdata is an open source tool designed to collect real-time metrics, such as CPU usage, disk activity, bandwidth usage, website visits, etc., and then display them in live, easy-to-interpret charts."
Flutter,Assess,Languages & Frameworks,TRUE,"Flutter is an open-source UI software development kit created by Google. It is used to develop cross platform applications for Android, iOS, Linux, Mac, Windows, Google Fuchsia, and the web from a single codebase. The first version of Flutter was known as codename ""Sky"" and ran on the Android operating system"
Snowflake,Assess,Tools,TRUE,"Snowflake is a data warehouse built on top of the Amazon Web Services or Microsoft Azure cloud infrastructure. There’s no hardware or software to select, install, configure, or manage, so it’s ideal for organizations that don’t want to dedicate resources for setup, maintenance, and support of in-house servers."
KISS Principle,Adopt,Techniques,TRUE,"KISS, an acronym for keep it simple, stupid, is a design principle noted by the U.S. Navy in 1960. The KISS principle states that most systems work best if they are kept simple rather than made complicated; therefore, simplicity should be a key goal in design, and unnecessary complexity should be avoided."
Jenkins,Adopt,Tools,TRUE,"Jenkins – an open source automation server which enables developers around the world to reliably build, test, and deploy their software."
K3s,Trial,Tools,TRUE,"K3s is a highly available, certified Kubernetes distribution designed for production workloads in unattended, resource-constrained, remote locations or inside IoT appliances."
Traefik,Adopt,Tools,TRUE,Traefik is an open-source Edge Router that makes publishing your services a fun and easy experience. It receives requests on behalf of your system and finds out which components are responsible for handling them.
GraphQL,Trial,Languages & Frameworks,TRUE,"GraphQL is an open-source data query and manipulation language for APIs, and a runtime for fulfilling queries with existing data. GraphQL was developed internally by Facebook in 2012 before being publicly released in 2015."
